login,days_since_last_activity,account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,avg_stars_per_repo,avg_forks_per_repo,repo_activity_density,repository_maintenance_ratio
matiasinsaurralde,7,6519,22.4114,0.2587,0.08,0.92,6.47,0.6175,1.7929,0.0425
lexzer42,57,1118,13.7214,1.0261,0.1667,0.8333,1.2381,0.0476,2.2869,0.2619
crodas,4,6412,8.7154,5.2099,0.0654,0.9346,7.5163,1.6078,0.5696,0.0588
blaszorrilla,42,3026,3.1383,1.0322,0.1154,0.8846,0.1923,0.0769,0.3621,0.0769
melizeche,20,5689,3.788,3.2783,0.1864,0.8136,6.8644,2.6441,0.7062,0.0169
dominickbrasileiro,38,2592,9.0185,0.7232,0.0469,0.9531,0.4375,0.0312,0.4227,0.0469
tchx84,5,5691,14.6973,37.1429,0.0393,0.9607,9.1179,0.9301,0.5776,0.0306
Tom5521,10,1767,6.8213,0.6619,0.2424,0.7576,1.3939,0.0606,1.6537,0.1515
nemesiscodex,1,4829,10.1353,1.9905,0.0672,0.9328,2.5448,0.5597,0.6807,0.0597
prolic,100,5757,14.4653,7.0357,0.0044,0.9956,2.4518,0.4561,0.0634,0.0088
abdelp,151,3445,8.6939,0.6169,0.0,1.0,1.6463,0.1098,0.0,0.0
ittidigital-bkp,7,2114,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
garyservin,124,5696,6.0918,14.0,0.0,1.0,0.8211,0.5895,0.0,0.0
pablo,48,5356,2.3868,4.3235,0.0286,0.9714,4.2857,1.8857,0.0682,0.0571
WilliBobadilla,14,4173,6.3019,1.1453,0.0417,0.9583,1.1667,0.2778,0.2626,0.0417
juancarlosmiranda,123,2819,3.1096,0.2784,0.0417,0.9583,2.2917,0.2083,0.1296,0.0833
ramirezsebas,1,2289,8.7762,0.7011,0.0545,0.9455,0.4545,0.1091,0.4787,0.0545
cardozoaldama,6,2817,7.9092,1.0161,0.2623,0.7377,0.2295,0.0164,2.0745,0.2131
ivankoop,12,3620,9.6862,0.4449,0.0312,0.9688,0.5938,0.0833,0.3027,0.0
leodufer,47,5208,24.4762,0.8227,0.0086,0.9914,0.0372,0.2378,0.2104,0.0143
metakeule,56,5998,8.2818,12.2222,0.0,1.0,1.1029,0.1324,0.0,0.0
replay,23,5976,2.9949,2.6667,0.0,1.0,5.2449,2.551,0.0,0.0204
skyvanguard,6,247,50.2773,0.7338,1.0,0.0,0.7647,0.1176,50.2773,0.5
deniswou,50,3142,3.6037,0.6197,0.0,1.0,0.0,0.0,0.0,0.0
pA1nD,20,4277,5.4655,2.2564,0.2344,0.7656,0.3906,0.1562,1.281,0.25
cmelgarejo,28,5051,7.7374,2.4444,0.0374,0.9626,1.2617,0.2243,0.2892,0.0187
juanhuttemann,5,4505,4.8646,0.5241,0.0833,0.9167,1.0333,0.05,0.4054,0.0167
RicardoBeltranRamirez,3,4686,0.7015,1.5088,0.0,1.0,0.0,0.0,0.0,0.0
aVolpe,88,5369,6.3267,2.125,0.043,0.957,0.5054,0.2903,0.2721,0.0323
fermellone,35,2978,7.359,0.5915,0.0833,0.9167,0.1667,0.1,0.6132,0.0667
mrocha98,30,2870,16.799,0.4462,0.0152,0.9848,0.4697,0.0833,0.2545,0.0
carloslugoo,11,1384,5.0143,1.04,0.2105,0.7895,0.2105,0.0,1.0556,0.1053
mbaez,42,5586,2.877,1.2581,0.0,1.0,1.2727,0.5,0.0,0.0
zot24,28,5567,5.5768,0.4667,0.2588,0.7412,0.4353,0.1059,1.4434,0.2235
cabupy,14,4496,3.0871,4.0526,0.0526,0.9474,1.5526,0.4211,0.1625,0.0789
dschulz,28,6409,2.8495,0.4934,0.0,1.0,0.76,0.0,0.0,0.0
jvcjunior,21,5754,4.0626,2.4194,0.0156,0.9844,0.875,0.2812,0.0635,0.0156
moios,10,4192,1.8297,14.8,0.2381,0.7619,0.0,0.5238,0.4357,0.1905
pabloacastillo,4,5851,0.8115,1.0,0.0769,0.9231,2.7692,0.8462,0.0624,0.0
roshkadev,1340,4238,1.8961,73.0,0.1364,0.8636,6.7273,2.7727,0.2586,0.1364
laychopy,7,5088,4.7379,0.2996,0.0,1.0,0.0455,0.1515,0.0,0.0
nicupop729,24,1869,10.9438,1.7949,0.0,1.0,1.4821,0.0893,0.0,0.0
vanecanhete,13,5536,0.6598,4.7143,0.0,1.0,1.0,0.4,0.0,0.0
dalleng,3,5029,3.2683,1.6667,0.1778,0.8222,0.2889,0.2444,0.581,0.1111
rodrigojv,200,3779,5.9925,1.0847,0.0161,0.9839,0.1129,0.5806,0.0967,0.0
rparrapy,29,5535,4.5533,4.5714,0.0435,0.9565,0.3478,0.2754,0.198,0.0435
rorogarcete,46,4842,2.3384,1.0,0.0,1.0,0.2581,0.0645,0.0,0.0
davidruizdiaz,15,4506,2.9181,0.6176,0.1667,0.8333,0.0833,0.8611,0.4864,0.0833
alefq,15,5276,5.2614,2.7391,0.0395,0.9605,0.4868,0.6053,0.2077,0.0263
jorgecasariego,88,4989,9.9567,1.0164,0.0,1.0,0.4191,0.1765,0.0,0.0147
kiquetal,100,4631,42.5113,0.4766,0.0686,0.9314,0.0278,0.0167,2.9182,0.0315
maxwellweb,36,6327,1.5009,0.8472,0.0769,0.9231,1.0769,0.2692,0.1155,0.0769
everdaniel,27,5942,10.5727,0.6237,0.0116,0.9884,0.1047,0.4826,0.1229,0.0058
guilleheizen,40,4141,2.0287,0.5631,0.3478,0.6522,0.8696,0.0,0.7056,0.1739
the-dark-soldier,360,3315,0.2204,14.25,0.0,1.0,0.0,0.0,0.0,0.0
mgueyraud,6,4222,2.4223,1.7812,0.0357,0.9643,2.2857,0.0714,0.0865,0.0
StuartMosquera,25,661,11.0514,1.1957,0.15,0.85,0.05,0.0,1.6577,0.35
Centurion95,25,3553,4.626,0.3293,0.0889,0.9111,0.0222,0.0,0.4112,0.0667
emilioeduardob,13,6532,2.2367,2.25,0.05,0.95,0.15,0.075,0.1118,0.05
ManuelMaciel,14,3123,7.719,0.8182,0.0,1.0,0.1212,0.0152,0.0,0.0
unacorbatanegra,17,2789,6.4171,0.5248,0.0612,0.9388,0.7959,0.1837,0.3929,0.0408
doggbmx,27,1508,9.9305,1.2093,0.0,1.0,0.7561,0.0488,0.0,0.0
sgaseretto,15,4477,9.79,0.3923,0.3,0.7,0.1167,0.0083,2.937,0.175
oscar0pavon,4,3996,6.1241,0.5426,0.1791,0.8209,1.1343,0.1642,1.0968,0.1343
elvus,42,3478,8.2964,0.4717,0.1139,0.8861,0.6076,0.0633,0.9452,0.0633
mancuellofran,9,3724,3.9232,0.9057,0.1,0.9,2.25,0.025,0.3923,0.025
manucastelnovo,28,1527,21.7667,0.6761,0.033,0.967,0.1978,0.0,0.7176,0.022
jmigueprieto,63,4742,3.004,1.0667,0.0256,0.9744,0.9487,0.4615,0.077,0.0769
blasferna,50,4330,2.868,0.4848,0.1176,0.8824,2.2941,0.5588,0.3374,0.1765
guarani,17,5101,6.0863,1.5484,0.0,1.0,0.2,0.0353,0.0,0.0235
jmayalag,42,4501,5.2747,1.1463,0.1385,0.8615,0.3846,0.0,0.7303,0.0923
luchobenitez,90,5210,0.9114,2.9375,0.0,1.0,2.0769,0.4615,0.0,0.0
enzoM97,60,3223,3.6264,1.2368,0.0312,0.9688,0.0312,0.0312,0.1133,0.0312
lovera00,47,3105,4.1171,0.3594,0.0571,0.9429,0.1429,0.0,0.2353,0.0286
mriveros,6,4166,16.0443,1.0,0.0,1.0,0.071,0.0164,0.0,0.0
PythonParaguay,2981,4118,0.7096,44.0,0.375,0.625,3.25,2.0,0.2661,0.375
josemlegal,5,1639,8.2454,1.1026,0.027,0.973,0.5405,0.027,0.2228,0.027
gvso,40,4942,0.4434,3.9091,0.3333,0.6667,0.6667,0.1667,0.1478,0.0
rpaszniuk,350,5014,0.5828,3.0714,0.0,1.0,0.25,0.0,0.0,0.0
carlaoca,241,3115,5.6283,0.0853,0.0208,0.9792,0.0208,0.25,0.1173,0.0208
Tesam,203,3468,1.3692,3.5,0.0,1.0,0.7692,0.0,0.0,0.0
jcadrg,7,4315,1.9469,0.6885,0.0435,0.9565,0.4783,0.0,0.0846,0.0
queavos,11,4912,2.5282,8.4,0.0882,0.9118,0.2059,0.2647,0.2231,0.0882
learntheropes,14,4626,1.0264,0.9762,0.6154,0.3846,0.6923,0.0,0.6316,0.4615
