days_since_last_activity,account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,churn
7,6519,22.4114,0.2587,0.08,0.92,0
57,1118,13.7214,1.0261,0.1667,0.8333,0
4,6412,8.7154,5.2099,0.0654,0.9346,0
42,3026,3.1383,1.0322,0.1154,0.8846,0
20,5689,3.788,3.2783,0.1864,0.8136,0
38,2592,9.0185,0.7232,0.0469,0.9531,0
5,5691,14.6973,37.1429,0.0393,0.9607,0
10,1767,6.8213,0.6619,0.2424,0.7576,0
1,4829,10.1353,1.9905,0.0672,0.9328,0
100,5757,14.4653,7.0357,0.0044,0.9956,0
151,3445,8.6939,0.6169,0.0,1.0,0
7,2114,0.0,162.0,0.0,0.0,0
124,5696,6.0918,14.0,0.0,1.0,0
48,5356,2.3868,4.3235,0.0286,0.9714,0
14,4173,6.3019,1.1453,0.0417,0.9583,0
123,2819,3.1096,0.2784,0.0417,0.9583,0
1,2289,8.7762,0.7011,0.0545,0.9455,0
6,2817,7.9092,1.0161,0.2623,0.7377,0
12,3620,9.6862,0.4449,0.0312,0.9688,0
47,5208,24.4762,0.8227,0.0086,0.9914,0
56,5998,8.2818,12.2222,0.0,1.0,0
23,5976,2.9949,2.6667,0.0,1.0,0
6,247,50.2773,0.7338,1.0,0.0,0
50,3142,3.6037,0.6197,0.0,1.0,0
20,4277,5.4655,2.2564,0.2344,0.7656,0
28,5051,7.7374,2.4444,0.0374,0.9626,0
5,4505,4.8646,0.5241,0.0833,0.9167,0
3,4686,0.7015,1.5088,0.0,1.0,0
88,5369,6.3267,2.125,0.043,0.957,0
35,2978,7.359,0.5915,0.0833,0.9167,0
30,2870,16.799,0.4462,0.0152,0.9848,0
11,1384,5.0143,1.04,0.2105,0.7895,0
42,5586,2.877,1.2581,0.0,1.0,0
28,5567,5.5768,0.4667,0.2588,0.7412,0
14,4496,3.0871,4.0526,0.0526,0.9474,0
28,6409,2.8495,0.4934,0.0,1.0,0
21,5754,4.0626,2.4194,0.0156,0.9844,0
10,4192,1.8297,14.8,0.2381,0.7619,0
4,5851,0.8115,1.0,0.0769,0.9231,0
1340,4238,1.8961,73.0,0.1364,0.8636,1
7,5088,4.7379,0.2996,0.0,1.0,0
24,1869,10.9438,1.7949,0.0,1.0,0
13,5536,0.6598,4.7143,0.0,1.0,0
3,5029,3.2683,1.6667,0.1778,0.8222,0
200,3779,5.9925,1.0847,0.0161,0.9839,1
29,5535,4.5533,4.5714,0.0435,0.9565,0
46,4842,2.3384,1.0,0.0,1.0,0
15,4506,2.9181,0.6176,0.1667,0.8333,0
15,5276,5.2614,2.7391,0.0395,0.9605,0
88,4989,9.9567,1.0164,0.0,1.0,0
100,4631,42.5113,0.4766,0.0686,0.9314,0
36,6327,1.5009,0.8472,0.0769,0.9231,0
27,5942,10.5727,0.6237,0.0116,0.9884,0
40,4141,2.0287,0.5631,0.3478,0.6522,0
360,3315,0.2204,14.25,0.0,1.0,1
6,4222,2.4223,1.7812,0.0357,0.9643,0
25,661,11.0514,1.1957,0.15,0.85,0
25,3553,4.626,0.3293,0.0889,0.9111,0
13,6532,2.2367,2.25,0.05,0.95,0
14,3123,7.719,0.8182,0.0,1.0,0
17,2789,6.4171,0.5248,0.0612,0.9388,0
27,1508,9.9305,1.2093,0.0,1.0,0
15,4477,9.79,0.3923,0.3,0.7,0
4,3996,6.1241,0.5426,0.1791,0.8209,0
42,3478,8.2964,0.4717,0.1139,0.8861,0
9,3724,3.9232,0.9057,0.1,0.9,0
28,1527,21.7667,0.6761,0.033,0.967,0
63,4742,3.004,1.0667,0.0256,0.9744,0
50,4330,2.868,0.4848,0.1176,0.8824,0
17,5101,6.0863,1.5484,0.0,1.0,0
42,4501,5.2747,1.1463,0.1385,0.8615,0
90,5210,0.9114,2.9375,0.0,1.0,0
60,3223,3.6264,1.2368,0.0312,0.9688,0
47,3105,4.1171,0.3594,0.0571,0.9429,0
6,4166,16.0443,1.0,0.0,1.0,0
2981,4118,0.7096,44.0,0.375,0.625,1
5,1639,8.2454,1.1026,0.027,0.973,0
40,4942,0.4434,3.9091,0.3333,0.6667,0
350,5014,0.5828,3.0714,0.0,1.0,1
241,3115,5.6283,0.0853,0.0208,0.9792,1
203,3468,1.3692,3.5,0.0,1.0,1
7,4315,1.9469,0.6885,0.0435,0.9565,0
11,4912,2.5282,8.4,0.0882,0.9118,0
14,4626,1.0264,0.9762,0.6154,0.3846,0
11,3046,6.715,8.2,0.125,0.875,0
23,5532,0.9243,1.0,0.0,1.0,0
19,4490,16.1068,2.6667,0.1566,0.8434,0
3,2649,1.2409,0.8511,0.5556,0.4444,0
108,6464,4.6899,1.7391,0.0,1.0,0
12,4456,6.7214,0.7407,0.0488,0.9512,0
18,5567,0.6561,1.7391,0.0,1.0,0
69,4255,1.7168,0.9524,0.0,1.0,0
73,1459,9.0123,1.6,0.0,1.0,0
25,2257,4.8549,0.6897,0.0333,0.9667,0
1,2344,10.9076,0.2229,0.0,1.0,0
90,3978,2.7545,1.56,0.0333,0.9667,0
97,1396,8.8958,0.975,0.0,1.0,0
38,4757,2.1499,1.1143,0.1071,0.8929,0
168,4473,2.858,0.4756,0.0,1.0,0
49,5613,0.3254,5.5714,0.0,1.0,0
18,3749,2.2408,0.6094,0.0435,0.9565,0
17,6061,0.4218,1.8095,0.0,1.0,0
23,3611,4.754,1.3571,0.1277,0.8723,0
114,3663,0.698,0.4578,0.0,1.0,0
101,6282,1.9187,2.4667,0.0303,0.9697,0
82,2526,5.4947,0.7708,0.0,1.0,0
