account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,avg_stars_per_repo,avg_forks_per_repo,repository_maintenance_ratio,churn
6519,22.4114,0.2587,0.08,0.92,6.47,0.6175,0.0425,0
1118,13.7214,1.0261,0.1667,0.8333,1.2381,0.0476,0.2619,0
6412,8.7154,5.2099,0.0654,0.9346,7.5163,1.6078,0.0588,0
3026,3.1383,1.0322,0.1154,0.8846,0.1923,0.0769,0.0769,0
5689,3.788,3.2783,0.1864,0.8136,6.8644,2.6441,0.0169,0
2592,9.0185,0.7232,0.0469,0.9531,0.4375,0.0312,0.0469,0
5691,14.6973,37.1429,0.0393,0.9607,9.1179,0.9301,0.0306,0
1767,6.8213,0.6619,0.2424,0.7576,1.3939,0.0606,0.1515,0
4829,10.1353,1.9905,0.0672,0.9328,2.5448,0.5597,0.0597,0
5757,14.4653,7.0357,0.0044,0.9956,2.4518,0.4561,0.0088,0
3445,8.6939,0.6169,0.0,1.0,1.6463,0.1098,0.0,0
2114,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0
5696,6.0918,14.0,0.0,1.0,0.8211,0.5895,0.0,0
5356,2.3868,4.3235,0.0286,0.9714,4.2857,1.8857,0.0571,0
4173,6.3019,1.1453,0.0417,0.9583,1.1667,0.2778,0.0417,0
2819,3.1096,0.2784,0.0417,0.9583,2.2917,0.2083,0.0833,0
2289,8.7762,0.7011,0.0545,0.9455,0.4545,0.1091,0.0545,0
2817,7.9092,1.0161,0.2623,0.7377,0.2295,0.0164,0.2131,0
3620,9.6862,0.4449,0.0312,0.9688,0.5938,0.0833,0.0,0
5208,24.4762,0.8227,0.0086,0.9914,0.0372,0.2378,0.0143,0
5998,8.2818,12.2222,0.0,1.0,1.1029,0.1324,0.0,0
5976,2.9949,2.6667,0.0,1.0,5.2449,2.551,0.0204,0
247,50.2773,0.7338,1.0,0.0,0.7647,0.1176,0.5,0
3142,3.6037,0.6197,0.0,1.0,0.0,0.0,0.0,0
4277,5.4655,2.2564,0.2344,0.7656,0.3906,0.1562,0.25,0
5051,7.7374,2.4444,0.0374,0.9626,1.2617,0.2243,0.0187,0
4505,4.8646,0.5241,0.0833,0.9167,1.0333,0.05,0.0167,0
4686,0.7015,1.5088,0.0,1.0,0.0,0.0,0.0,0
5369,6.3267,2.125,0.043,0.957,0.5054,0.2903,0.0323,0
2978,7.359,0.5915,0.0833,0.9167,0.1667,0.1,0.0667,0
2870,16.799,0.4462,0.0152,0.9848,0.4697,0.0833,0.0,0
1384,5.0143,1.04,0.2105,0.7895,0.2105,0.0,0.1053,0
5586,2.877,1.2581,0.0,1.0,1.2727,0.5,0.0,0
5567,5.5768,0.4667,0.2588,0.7412,0.4353,0.1059,0.2235,0
4496,3.0871,4.0526,0.0526,0.9474,1.5526,0.4211,0.0789,0
6409,2.8495,0.4934,0.0,1.0,0.76,0.0,0.0,0
5754,4.0626,2.4194,0.0156,0.9844,0.875,0.2812,0.0156,0
4192,1.8297,14.8,0.2381,0.7619,0.0,0.5238,0.1905,0
5851,0.8115,1.0,0.0769,0.9231,2.7692,0.8462,0.0,0
4238,1.8961,73.0,0.1364,0.8636,6.7273,2.7727,0.1364,1
5088,4.7379,0.2996,0.0,1.0,0.0455,0.1515,0.0,0
1869,10.9438,1.7949,0.0,1.0,1.4821,0.0893,0.0,0
5536,0.6598,4.7143,0.0,1.0,1.0,0.4,0.0,0
5029,3.2683,1.6667,0.1778,0.8222,0.2889,0.2444,0.1111,0
3779,5.9925,1.0847,0.0161,0.9839,0.1129,0.5806,0.0,1
5535,4.5533,4.5714,0.0435,0.9565,0.3478,0.2754,0.0435,0
4842,2.3384,1.0,0.0,1.0,0.2581,0.0645,0.0,0
4506,2.9181,0.6176,0.1667,0.8333,0.0833,0.8611,0.0833,0
5276,5.2614,2.7391,0.0395,0.9605,0.4868,0.6053,0.0263,0
4989,9.9567,1.0164,0.0,1.0,0.4191,0.1765,0.0147,0
4631,42.5113,0.4766,0.0686,0.9314,0.0278,0.0167,0.0315,0
6327,1.5009,0.8472,0.0769,0.9231,1.0769,0.2692,0.0769,0
5942,10.5727,0.6237,0.0116,0.9884,0.1047,0.4826,0.0058,0
4141,2.0287,0.5631,0.3478,0.6522,0.8696,0.0,0.1739,0
3315,0.2204,14.25,0.0,1.0,0.0,0.0,0.0,1
4222,2.4223,1.7812,0.0357,0.9643,2.2857,0.0714,0.0,0
661,11.0514,1.1957,0.15,0.85,0.05,0.0,0.35,0
3553,4.626,0.3293,0.0889,0.9111,0.0222,0.0,0.0667,0
6532,2.2367,2.25,0.05,0.95,0.15,0.075,0.05,0
3123,7.719,0.8182,0.0,1.0,0.1212,0.0152,0.0,0
2789,6.4171,0.5248,0.0612,0.9388,0.7959,0.1837,0.0408,0
1508,9.9305,1.2093,0.0,1.0,0.7561,0.0488,0.0,0
4477,9.79,0.3923,0.3,0.7,0.1167,0.0083,0.175,0
3996,6.1241,0.5426,0.1791,0.8209,1.1343,0.1642,0.1343,0
3478,8.2964,0.4717,0.1139,0.8861,0.6076,0.0633,0.0633,0
3724,3.9232,0.9057,0.1,0.9,2.25,0.025,0.025,0
1527,21.7667,0.6761,0.033,0.967,0.1978,0.0,0.022,0
4742,3.004,1.0667,0.0256,0.9744,0.9487,0.4615,0.0769,0
4330,2.868,0.4848,0.1176,0.8824,2.2941,0.5588,0.1765,0
5101,6.0863,1.5484,0.0,1.0,0.2,0.0353,0.0235,0
4501,5.2747,1.1463,0.1385,0.8615,0.3846,0.0,0.0923,0
5210,0.9114,2.9375,0.0,1.0,2.0769,0.4615,0.0,0
3223,3.6264,1.2368,0.0312,0.9688,0.0312,0.0312,0.0312,0
3105,4.1171,0.3594,0.0571,0.9429,0.1429,0.0,0.0286,0
4166,16.0443,1.0,0.0,1.0,0.071,0.0164,0.0,0
4118,0.7096,44.0,0.375,0.625,3.25,2.0,0.375,1
1639,8.2454,1.1026,0.027,0.973,0.5405,0.027,0.027,0
4942,0.4434,3.9091,0.3333,0.6667,0.6667,0.1667,0.0,0
5014,0.5828,3.0714,0.0,1.0,0.25,0.0,0.0,1
3115,5.6283,0.0853,0.0208,0.9792,0.0208,0.25,0.0208,1
3468,1.3692,3.5,0.0,1.0,0.7692,0.0,0.0,1
4315,1.9469,0.6885,0.0435,0.9565,0.4783,0.0,0.0,0
4912,2.5282,8.4,0.0882,0.9118,0.2059,0.2647,0.0882,0
4626,1.0264,0.9762,0.6154,0.3846,0.6923,0.0,0.4615,0
3046,6.715,8.2,0.125,0.875,0.0714,0.0,0.1071,0
5532,0.9243,1.0,0.0,1.0,0.2143,0.2143,0.0714,0
4490,16.1068,2.6667,0.1566,0.8434,0.0758,0.1263,0.0909,0
2649,1.2409,0.8511,0.5556,0.4444,0.4444,0.0,0.4444,0
6464,4.6899,1.7391,0.0,1.0,0.1807,0.0482,0.0,0
4456,6.7214,0.7407,0.0488,0.9512,0.0122,0.0,0.0122,0
5567,0.6561,1.7391,0.0,1.0,0.3,0.1,0.0,0
4255,1.7168,0.9524,0.0,1.0,0.05,0.1,0.0,0
1459,9.0123,1.6,0.0,1.0,3.3056,0.0833,0.0,0
2257,4.8549,0.6897,0.0333,0.9667,0.0333,0.0,0.0,0
2344,10.9076,0.2229,0.0,1.0,0.1714,0.0,0.0,0
3978,2.7545,1.56,0.0333,0.9667,1.2,0.4667,0.0,0
1396,8.8958,0.975,0.0,1.0,0.1765,0.0882,0.0,0
4757,2.1499,1.1143,0.1071,0.8929,0.9286,0.0,0.1071,0
4473,2.858,0.4756,0.0,1.0,0.8857,0.0571,0.0,0
5613,0.3254,5.5714,0.0,1.0,0.2,0.2,0.0,0
3749,2.2408,0.6094,0.0435,0.9565,0.3913,0.0435,0.0,0
6061,0.4218,1.8095,0.0,1.0,5.8571,2.1429,0.0,0
3611,4.754,1.3571,0.1277,0.8723,0.0,0.0,0.0851,0
3663,0.698,0.4578,0.0,1.0,0.0,0.0,0.0,0
6282,1.9187,2.4667,0.0303,0.9697,0.4545,0.0,0.0303,0
2526,5.4947,0.7708,0.0,1.0,0.0526,0.0,0.0,0
2758,3.1784,3.3636,0.0833,0.9167,0.0,0.0,0.0417,0
2901,1.8886,0.4868,0.0,1.0,1.0667,0.2667,0.0,0
2893,2.6513,0.7551,0.0,1.0,0.381,0.0,0.0,0
5892,1.1158,0.5606,0.0,1.0,0.1667,0.0,0.0556,0
2643,2.4875,1.4231,0.0556,0.9444,0.0,0.0556,0.0,0
1554,3.0555,1.0286,0.0,1.0,0.5385,0.2308,0.0,0
4337,3.9582,1.0588,0.0213,0.9787,0.3404,0.2128,0.0426,0
4707,0.388,0.7059,0.0,1.0,1.0,0.6,0.0,0
4718,2.0902,0.4286,0.0,1.0,0.2963,0.6296,0.0,0
3478,7.5612,7.2,0.0278,0.9722,0.4861,0.0694,0.1667,0
3056,6.3345,0.3977,0.0189,0.9811,0.1132,0.0566,0.0,0
5099,5.3007,0.2465,0.0405,0.9595,0.3649,0.0,0.027,0
783,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0
4989,0.5857,1.0303,0.125,0.875,1.375,0.125,0.0,0
3265,12.0818,0.5484,0.1481,0.8519,0.0278,0.1204,0.0185,0
4802,2.51,0.5484,0.0303,0.9697,0.9091,0.0303,0.0606,0
4302,1.1037,0.2112,0.0769,0.9231,0.0,0.0,0.0,1
2831,0.3871,0.4304,0.3333,0.6667,0.3333,0.0,0.3333,0
2662,6.586,0.33,0.0833,0.9167,0.1458,0.0625,0.0833,0
1727,5.7103,0.55,0.0,1.0,1.8889,0.037,0.0,0
5047,8.9015,3.6667,0.0163,0.9837,0.1707,0.0732,0.0,0
