followers_following_ratio,account_age_days,repos_per_year,avg_stars_per_repo,avg_forks_per_repo,active_repo_ratio,churn
0.2587,6519,22.4114,6.47,0.6175,0.08,0
1.0261,1118,13.7214,1.2381,0.0476,0.1667,0
5.2099,6412,8.7154,7.5163,1.6078,0.0654,0
1.0322,3026,3.1383,0.1923,0.0769,0.1154,0
3.2783,5689,3.788,6.8644,2.6441,0.1864,0
0.7232,2592,9.0185,0.4375,0.0312,0.0469,0
37.1429,5691,14.6973,9.1179,0.9301,0.0393,0
0.6619,1767,6.8213,1.3939,0.0606,0.2424,0
1.9905,4829,10.1353,2.5448,0.5597,0.0672,0
7.0357,5757,14.4653,2.4518,0.4561,0.0044,0
0.6169,3445,8.6939,1.6463,0.1098,0.0,0
162.0,2114,0.0,0.0,0.0,0.0,0
14.0,5696,6.0918,0.8211,0.5895,0.0,0
4.3235,5356,2.3868,4.2857,1.8857,0.0286,0
1.1453,4173,6.3019,1.1667,0.2778,0.0417,0
0.2784,2819,3.1096,2.2917,0.2083,0.0417,0
0.7011,2289,8.7762,0.4545,0.1091,0.0545,0
1.0161,2817,7.9092,0.2295,0.0164,0.2623,0
0.4449,3620,9.6862,0.5938,0.0833,0.0312,0
0.8227,5208,24.4762,0.0372,0.2378,0.0086,0
12.2222,5998,8.2818,1.1029,0.1324,0.0,0
2.6667,5976,2.9949,5.2449,2.551,0.0,0
0.7338,247,50.2773,0.7647,0.1176,1.0,0
0.6197,3142,3.6037,0.0,0.0,0.0,0
2.2564,4277,5.4655,0.3906,0.1562,0.2344,0
2.4444,5051,7.7374,1.2617,0.2243,0.0374,0
0.5241,4505,4.8646,1.0333,0.05,0.0833,0
1.5088,4686,0.7015,0.0,0.0,0.0,0
2.125,5369,6.3267,0.5054,0.2903,0.043,0
0.5915,2978,7.359,0.1667,0.1,0.0833,0
0.4462,2870,16.799,0.4697,0.0833,0.0152,0
1.04,1384,5.0143,0.2105,0.0,0.2105,0
1.2581,5586,2.877,1.2727,0.5,0.0,0
0.4667,5567,5.5768,0.4353,0.1059,0.2588,0
4.0526,4496,3.0871,1.5526,0.4211,0.0526,0
0.4934,6409,2.8495,0.76,0.0,0.0,0
2.4194,5754,4.0626,0.875,0.2812,0.0156,0
14.8,4192,1.8297,0.0,0.5238,0.2381,0
1.0,5851,0.8115,2.7692,0.8462,0.0769,0
73.0,4238,1.8961,6.7273,2.7727,0.1364,1
0.2996,5088,4.7379,0.0455,0.1515,0.0,0
1.7949,1869,10.9438,1.4821,0.0893,0.0,0
4.7143,5536,0.6598,1.0,0.4,0.0,0
1.6667,5029,3.2683,0.2889,0.2444,0.1778,0
1.0847,3779,5.9925,0.1129,0.5806,0.0161,1
4.5714,5535,4.5533,0.3478,0.2754,0.0435,0
1.0,4842,2.3384,0.2581,0.0645,0.0,0
0.6176,4506,2.9181,0.0833,0.8611,0.1667,0
2.7391,5276,5.2614,0.4868,0.6053,0.0395,0
1.0164,4989,9.9567,0.4191,0.1765,0.0,0
0.4766,4631,42.5113,0.0278,0.0167,0.0686,0
0.8472,6327,1.5009,1.0769,0.2692,0.0769,0
0.6237,5942,10.5727,0.1047,0.4826,0.0116,0
0.5631,4141,2.0287,0.8696,0.0,0.3478,0
14.25,3315,0.2204,0.0,0.0,0.0,1
1.7812,4222,2.4223,2.2857,0.0714,0.0357,0
1.1957,661,11.0514,0.05,0.0,0.15,0
0.3293,3553,4.626,0.0222,0.0,0.0889,0
2.25,6532,2.2367,0.15,0.075,0.05,0
0.8182,3123,7.719,0.1212,0.0152,0.0,0
0.5248,2789,6.4171,0.7959,0.1837,0.0612,0
1.2093,1508,9.9305,0.7561,0.0488,0.0,0
0.3923,4477,9.79,0.1167,0.0083,0.3,0
0.5426,3996,6.1241,1.1343,0.1642,0.1791,0
0.4717,3478,8.2964,0.6076,0.0633,0.1139,0
0.9057,3724,3.9232,2.25,0.025,0.1,0
0.6761,1527,21.7667,0.1978,0.0,0.033,0
1.0667,4742,3.004,0.9487,0.4615,0.0256,0
0.4848,4330,2.868,2.2941,0.5588,0.1176,0
1.5484,5101,6.0863,0.2,0.0353,0.0,0
1.1463,4501,5.2747,0.3846,0.0,0.1385,0
2.9375,5210,0.9114,2.0769,0.4615,0.0,0
1.2368,3223,3.6264,0.0312,0.0312,0.0312,0
0.3594,3105,4.1171,0.1429,0.0,0.0571,0
1.0,4166,16.0443,0.071,0.0164,0.0,0
44.0,4118,0.7096,3.25,2.0,0.375,1
1.1026,1639,8.2454,0.5405,0.027,0.027,0
3.9091,4942,0.4434,0.6667,0.1667,0.3333,0
3.0714,5014,0.5828,0.25,0.0,0.0,1
0.0853,3115,5.6283,0.0208,0.25,0.0208,1
3.5,3468,1.3692,0.7692,0.0,0.0,1
0.6885,4315,1.9469,0.4783,0.0,0.0435,0
8.4,4912,2.5282,0.2059,0.2647,0.0882,0
0.9762,4626,1.0264,0.6923,0.0,0.6154,0
8.2,3046,6.715,0.0714,0.0,0.125,0
1.0,5532,0.9243,0.2143,0.2143,0.0,0
2.6667,4490,16.1068,0.0758,0.1263,0.1566,0
0.8511,2649,1.2409,0.4444,0.0,0.5556,0
1.7391,6464,4.6899,0.1807,0.0482,0.0,0
0.7407,4456,6.7214,0.0122,0.0,0.0488,0
1.7391,5567,0.6561,0.3,0.1,0.0,0
0.9524,4255,1.7168,0.05,0.1,0.0,0
1.6,1459,9.0123,3.3056,0.0833,0.0,0
0.6897,2257,4.8549,0.0333,0.0,0.0333,0
0.2229,2344,10.9076,0.1714,0.0,0.0,0
1.56,3978,2.7545,1.2,0.4667,0.0333,0
0.975,1396,8.8958,0.1765,0.0882,0.0,0
1.1143,4757,2.1499,0.9286,0.0,0.1071,0
