days_since_last_activity,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,repo_activity_density,churn
7,22.4114,0.2587,0.08,0.92,1.7929,0
57,13.7214,1.0261,0.1667,0.8333,2.2869,0
4,8.7154,5.2099,0.0654,0.9346,0.5696,0
42,3.1383,1.0322,0.1154,0.8846,0.3621,0
20,3.788,3.2783,0.1864,0.8136,0.7062,0
38,9.0185,0.7232,0.0469,0.9531,0.4227,0
5,14.6973,37.1429,0.0393,0.9607,0.5776,0
10,6.8213,0.6619,0.2424,0.7576,1.6537,0
1,10.1353,1.9905,0.0672,0.9328,0.6807,0
100,14.4653,7.0357,0.0044,0.9956,0.0634,0
151,8.6939,0.6169,0.0,1.0,0.0,0
7,0.0,162.0,0.0,0.0,0.0,0
124,6.0918,14.0,0.0,1.0,0.0,0
48,2.3868,4.3235,0.0286,0.9714,0.0682,0
14,6.3019,1.1453,0.0417,0.9583,0.2626,0
123,3.1096,0.2784,0.0417,0.9583,0.1296,0
1,8.7762,0.7011,0.0545,0.9455,0.4787,0
6,7.9092,1.0161,0.2623,0.7377,2.0745,0
12,9.6862,0.4449,0.0312,0.9688,0.3027,0
47,24.4762,0.8227,0.0086,0.9914,0.2104,0
56,8.2818,12.2222,0.0,1.0,0.0,0
23,2.9949,2.6667,0.0,1.0,0.0,0
6,50.2773,0.7338,1.0,0.0,50.2773,0
50,3.6037,0.6197,0.0,1.0,0.0,0
20,5.4655,2.2564,0.2344,0.7656,1.281,0
28,7.7374,2.4444,0.0374,0.9626,0.2892,0
5,4.8646,0.5241,0.0833,0.9167,0.4054,0
3,0.7015,1.5088,0.0,1.0,0.0,0
88,6.3267,2.125,0.043,0.957,0.2721,0
35,7.359,0.5915,0.0833,0.9167,0.6132,0
30,16.799,0.4462,0.0152,0.9848,0.2545,0
11,5.0143,1.04,0.2105,0.7895,1.0556,0
42,2.877,1.2581,0.0,1.0,0.0,0
28,5.5768,0.4667,0.2588,0.7412,1.4434,0
14,3.0871,4.0526,0.0526,0.9474,0.1625,0
28,2.8495,0.4934,0.0,1.0,0.0,0
21,4.0626,2.4194,0.0156,0.9844,0.0635,0
10,1.8297,14.8,0.2381,0.7619,0.4357,0
4,0.8115,1.0,0.0769,0.9231,0.0624,0
1340,1.8961,73.0,0.1364,0.8636,0.2586,1
7,4.7379,0.2996,0.0,1.0,0.0,0
24,10.9438,1.7949,0.0,1.0,0.0,0
13,0.6598,4.7143,0.0,1.0,0.0,0
